Top_K,Percentage(%),Precision,Recall,F1-Score,AUC,Anomaly_Count_In_TopK
4,0.88,0.75,0.0455,0.0857,0.8074,3
9,1.99,0.6667,0.0909,0.16,0.8074,6
13,2.88,0.6923,0.1364,0.2278,0.8074,9
18,3.98,0.6111,0.1667,0.2619,0.8074,11
22,4.87,0.6818,0.2273,0.3409,0.8074,15
27,5.97,0.6296,0.2576,0.3656,0.8074,17
31,6.86,0.6452,0.303,0.4124,0.8074,20
36,7.96,0.6667,0.3636,0.4706,0.8074,24
40,8.85,0.65,0.3939,0.4906,0.8074,26
45,9.96,0.6,0.4091,0.4865,0.8074,27
67,14.82,0.4776,0.4848,0.4812,0.8074,32
90,19.91,0.4444,0.6061,0.5128,0.8074,40
113,25.0,0.3717,0.6364,0.4693,0.8074,42
135,29.87,0.3556,0.7273,0.4776,0.8074,48
158,34.96,0.3165,0.7576,0.4464,0.8074,50
180,39.82,0.2889,0.7879,0.4228,0.8074,52
203,44.91,0.266,0.8182,0.4015,0.8074,54
226,50.0,0.2478,0.8485,0.3836,0.8074,56
271,59.96,0.2177,0.8939,0.3501,0.8074,59
316,69.91,0.1962,0.9394,0.3246,0.8074,62
361,79.87,0.1773,0.9697,0.2998,0.8074,64
406,89.82,0.1576,0.9697,0.2712,0.8074,64
452,100.0,0.146,1.0,0.2548,0.8074,66
