Original_Index,Anomaly_Score,Detection_Result,True_Label
0,0.2171511948108673,1,1
1,0.19597409665584564,1,1
2,0.27891743183135986,1,1
3,0.28721317648887634,1,1
4,0.2261398434638977,1,1
5,0.22406476736068726,1,1
6,0.21915185451507568,1,1
7,0.2261398434638977,1,1
8,0.25045254826545715,1,1
9,0.21756461262702942,1,1
10,0.22291874885559082,1,1
11,0.2552655041217804,1,1
12,0.25370270013809204,1,1
13,0.1969297230243683,1,1
14,0.21147358417510986,1,1
15,0.21236485242843628,1,1
16,0.2384568750858307,1,1
17,0.23673808574676514,1,1
18,0.22998708486557007,1,1
19,0.2188112735748291,1,1
20,0.09613419324159622,0,0
21,0.08361906558275223,0,0
22,0.09497593343257904,0,0
23,0.0949740782380104,0,0
24,0.08250590413808823,0,0
25,0.07834461331367493,0,0
26,0.08584979921579361,0,0
27,0.12986861169338226,0,0
28,0.07963200658559799,0,0
29,0.08662004768848419,0,0
30,0.14993488788604736,0,0
31,0.07608999311923981,0,0
32,0.10693660378456116,0,0
33,0.07392522692680359,0,0
34,0.07933525741100311,0,0
35,0.08299504965543747,0,0
36,0.08236113935709,0,0
37,0.08615455031394958,0,0
38,0.10443192720413208,0,0
39,0.09131715446710587,0,0
40,0.08522651344537735,0,0
41,0.07077757269144058,0,0
42,0.08930155634880066,0,0
43,0.07734529674053192,0,0
44,0.07422229647636414,0,0
45,0.07903413474559784,0,0
46,0.08814048022031784,0,0
47,0.08860567212104797,0,0
48,0.07845732569694519,0,0
49,0.09776711463928223,0,0
50,0.0985519140958786,0,0
51,0.10540050268173218,0,0
52,0.07895907759666443,0,0
53,0.08232034742832184,0,0
54,0.08667381852865219,0,0
55,0.08953253924846649,0,0
56,0.08687633275985718,0,0
57,0.09390661120414734,0,0
58,0.07316984236240387,0,0
59,0.08596176654100418,0,0
60,0.08926506340503693,0,0
61,0.07361495494842529,0,0
62,0.08214277029037476,0,0
63,0.12894047796726227,0,0
64,0.07785606384277344,0,0
65,0.07616306841373444,0,0
66,0.07387096434831619,0,0
67,0.07230955362319946,0,0
68,0.11767304688692093,0,0
69,0.07331422716379166,0,0
70,0.12061081826686859,0,0
71,0.08791185170412064,0,0
72,0.11440141499042511,0,0
73,0.08542128652334213,0,0
74,0.09689868986606598,0,0
75,0.15297967195510864,0,0
76,0.11630062013864517,0,0
77,0.12497487664222717,0,0
78,0.10483094304800034,0,0
79,0.16036637127399445,0,0
80,0.09042180329561234,0,0
81,0.08888037502765656,0,0
82,0.10100268572568893,0,0
83,0.09708768874406815,0,0
84,0.10305998474359512,0,0
85,0.10100731998682022,0,0
86,0.08629032224416733,0,0
87,0.19651377201080322,1,0
88,0.18262879550457,0,0
89,0.10351728647947311,0,0
90,0.11815111339092255,0,0
91,0.08916861563920975,0,0
92,0.15853826701641083,0,0
93,0.08468802273273468,0,0
94,0.104506716132164,0,0
95,0.11672425270080566,0,0
96,0.08214982599020004,0,0
97,0.08002984523773193,0,0
98,0.09264713525772095,0,0
99,0.10925190895795822,0,0
100,0.12906873226165771,0,0
101,0.1990675926208496,1,0
102,0.09520052373409271,0,0
103,0.08056774735450745,0,0
104,0.08426861464977264,0,0
105,0.155306875705719,0,0
106,0.11385573446750641,0,0
107,0.08612596988677979,0,0
108,0.08011966943740845,0,0
109,0.10485978424549103,0,0
110,0.1117614358663559,0,0
111,0.11174402385950089,0,0
112,0.08791185170412064,0,0
113,0.11724616587162018,0,0
114,0.12411563098430634,0,0
115,0.10346972942352295,0,0
116,0.09366753697395325,0,0
117,0.08768992125988007,0,0
118,0.1068667620420456,0,0
119,0.08226808905601501,0,0
