Top_K,Percentage(%),Precision,Recall,F1-Score,AUC,Anomaly_Count_In_TopK
4,0.82,0.5,0.05,0.0909,0.8466,2
9,1.84,0.7778,0.175,0.2857,0.8466,7
14,2.86,0.8571,0.3,0.4444,0.8466,12
19,3.88,0.8421,0.4,0.5424,0.8466,16
24,4.9,0.8333,0.5,0.625,0.8466,20
29,5.92,0.7931,0.575,0.6667,0.8466,23
34,6.94,0.6765,0.575,0.6216,0.8466,23
39,7.96,0.5897,0.575,0.5823,0.8466,23
44,8.98,0.5455,0.6,0.5714,0.8466,24
49,10.0,0.4898,0.6,0.5393,0.8466,24
73,14.9,0.3562,0.65,0.4602,0.8466,26
98,20.0,0.2755,0.675,0.3913,0.8466,27
122,24.9,0.2213,0.675,0.3333,0.8466,27
147,30.0,0.1973,0.725,0.3102,0.8466,29
171,34.9,0.1988,0.85,0.3223,0.8466,34
196,40.0,0.1786,0.875,0.2966,0.8466,35
220,44.9,0.1591,0.875,0.2692,0.8466,35
245,50.0,0.1429,0.875,0.2456,0.8466,35
294,60.0,0.1259,0.925,0.2216,0.8466,37
343,70.0,0.1079,0.925,0.1932,0.8466,37
392,80.0,0.0944,0.925,0.1713,0.8466,37
441,90.0,0.0907,1.0,0.1663,0.8466,40
490,100.0,0.0816,1.0,0.1509,0.8466,40
